gene_symbol	inheritance_class	LOEUF	missense	geneIds
GDF5	recessive	0.465	0.894	ENSG00000125965
OTC	recessive	0.406	1.33	ENSG00000036473
EXPH5	recessive	0.943	-0.274	ENSG00000110723
CRYBB2	Dom	0.571	1.07	ENSG00000244752
STAT5B	recessive	0.22	4	ENSG00000173757
PDE6G	recessive	1.66	-0.0272	ENSG00000185527
JAM3	recessive	0.843	-0.867	ENSG00000166086
NALCN	Dom	0.522	4.96	ENSG00000102452
FOXN1	recessive	0.349	0.657	ENSG00000109101
MTO1	recessive	0.64	0.65	ENSG00000135297
XYLT1	recessive	0.336	0.586	ENSG00000103489
CHRNG	recessive	1.32	-0.118	ENSG00000196811
CHSY1	recessive	0.405	0.831	ENSG00000131873
IFT172	recessive	0.755	1.19	ENSG00000138002
INPP5E	recessive	0.675	0.507	ENSG00000148384
CACNA1D	recessive	0.214	4.58	ENSG00000157388
GATA6	Dom	0.174	1.28	ENSG00000141448
DOCK8	recessive	0.477	-2.54	ENSG00000107099
SLC46A1	recessive	0.78	1.24	ENSG00000076351
DMPK	Dom	0.512	0.285	ENSG00000104936
CSTA	recessive	1.92	0.0715	ENSG00000121552
SLC25A38	recessive	1.11	0.263	ENSG00000144659
ABCC6	recessive	1.03	-1.09	ENSG00000091262
AFF2	recessive	0.275	1.41	ENSG00000155966
MRPS22	recessive	0.892	0.131	ENSG00000175110
HOXA1	recessive	0.628	-0.103	ENSG00000105991
EBP	Dom	0.342	1.49	ENSG00000147155
CACNA1D	Dom	0.214	4.58	ENSG00000157388
PSMB8	recessive	0.781	0.651	ENSG00000204264
NALCN	recessive	0.522	4.96	ENSG00000102452
LAMC3	recessive	0.841	-0.43	ENSG00000050555
PITX2	Dom	0.26	1.55	ENSG00000164093
XRCC4	recessive	1.09	0.298	ENSG00000152422
MAT1A	recessive	0.809	1.65	ENSG00000151224
NKX2-5	Dom	0.326	0.199	ENSG00000183072
TCF4	Dom	0.217	4.1	ENSG00000196628
GFM1	recessive	0.8	1.28	ENSG00000168827
TUBA8	recessive	1.1	0.631	ENSG00000183785
IGF2	Dom	1.13	0.931	ENSG00000167244
FGFR2	Dom	0.27	2.4	ENSG00000066468
BBS4	recessive	1.18	-0.956	ENSG00000140463
PCNT	recessive	0.821	-1.73	ENSG00000160299
BUB1B	recessive	0.58	0.893	ENSG00000156970
NAGS	recessive	1.14	1.34	ENSG00000161653
SNAP29	recessive	0.861	-0.872	ENSG00000099940
TBX1	Dom	0.427	0.735	ENSG00000184058
SLC25A15	recessive	1.38	0.101	ENSG00000102743
PYGL	recessive	0.965	-0.203	ENSG00000100504
BRAT1	recessive	0.995	-0.593	ENSG00000106009
ATP7A	recessive	0.216	1.53	ENSG00000165240
RFT1	recessive	1.09	0.967	ENSG00000163933
ALDH18A1	Dom	0.519	1.97	ENSG00000059573
PYCR1	recessive	1.26	0.173	ENSG00000183010
GDI1	recessive	0.192	3.29	ENSG00000203879
COQ2	recessive	0.887	-0.0284	ENSG00000173085
L1CAM	recessive	0.129	2.84	ENSG00000198910
MPDU1	recessive	1.31	0.44	ENSG00000129255
SMARCE1	Dom	0.191	2.74	ENSG00000073584
DDB2	recessive	0.848	1.22	ENSG00000134574
PIK3R1	Dom	0.228	2.72	ENSG00000145675
ERCC3	recessive	0.786	0.932	ENSG00000163161
WNT4	recessive	0.651	1.61	ENSG00000162552
GLUD1	Dom	0.612	3.06	ENSG00000148672
HADHA	recessive	0.621	0.821	ENSG00000084754
DDHD1	recessive	0.338	1.18	ENSG00000100523
SLC52A3	recessive	0.8	1.25	ENSG00000101276
HUWE1	Dom	0.06	8.87	ENSG00000086758
DYNC1H1	Dom	0.08	11	ENSG00000197102
MEGF10	recessive	0.347	1.05	ENSG00000145794
MPLKIP	recessive	1.67	-0.176	ENSG00000168303
WT1	Dom	0.247	1.78	ENSG00000184937
B3GALT6	recessive	1.43	1.26	ENSG00000176022
CHRDL1	recessive	0.522	0.45	ENSG00000101938
DVL1	Dom	0.733	-1.13	ENSG00000107404
DSTYK	Dom	0.371	1.59	ENSG00000133059
ROR2	recessive	0.558	0.143	ENSG00000169071
KCNC3	Dom	0.587	3.04	ENSG00000131398
NDP	recessive	0.876	0.969	ENSG00000124479
KAT6A	Dom	0.069	2.07	ENSG00000083168
BCOR	Dom	0.141	1.88	ENSG00000183337
PDSS1	recessive	0.928	1.32	ENSG00000148459
FREM2	recessive	0.475	-0.859	ENSG00000150893
AUTS2	Dom	0.253	2.22	ENSG00000158321
RARS2	recessive	0.923	-0.065	ENSG00000146282
LRAT	recessive	1.32	-0.0206	ENSG00000121207
SLC35C1	recessive	0.975	1.16	ENSG00000181830
NDUFS8	recessive	0.738	0.744	ENSG00000110717
SCN4A	Dom	0.378	1.56	ENSG00000007314
HESX1	recessive	1.24	-0.157	ENSG00000163666
IKBKG	recessive	1.37	0.0309	ENSG00000073009
DLL3	recessive	0.873	0.329	ENSG00000090932
FANCF	recessive	1.53	-1.83	ENSG00000183161
FH	recessive	0.544	1.27	ENSG00000091483
RUNX2	Dom	0.343	1.6	ENSG00000124813
CRYGC	Dom	1.31	-0.604	ENSG00000163254
OCRL	recessive	0.155	2.96	ENSG00000122126
RFX6	recessive	0.474	1.2	ENSG00000185002
NUP62	recessive	0.317	0.00622	ENSG00000213024
NPR2	recessive	0.495	2.96	ENSG00000159899
PET100	recessive	1.82	0.242	ENSG00000229833
SRCAP	Dom	0.096	2.13	ENSG00000080603
NPHP4	recessive	0.983	-0.242	ENSG00000131697
SCN1A	Dom	0.071	5.22	ENSG00000144285
COL9A1	Dom	0.814	0.186	ENSG00000112280
DEAF1	Dom	0.698	1.5	ENSG00000177030
WDR35	recessive	0.815	0.599	ENSG00000118965
RNASEH2A	recessive	0.88	0.193	ENSG00000104889
AP4M1	recessive	1.31	-1.21	ENSG00000221838
C12orf57	recessive	1.86	-0.897	ENSG00000111678
SMARCB1	Dom	0.22	3.6	ENSG00000099956
PAX6	Dom	0.169	2.82	ENSG00000007372
DLAT	recessive	0.863	0.417	ENSG00000150768
SH3PXD2B	recessive	0.488	0.526	ENSG00000174705
FLNA	Dom	0.082	3.78	ENSG00000196924
NR2F1	Dom	0.191	4.17	ENSG00000175745
KAT6B	Dom	0.128	2.89	ENSG00000156650
GLI3	Dom	0.195	0.522	ENSG00000106571
GHR	recessive	0.662	-0.361	ENSG00000112964
COQ4	recessive	1.58	0.364	ENSG00000167113
PAX9	Dom	0.614	0.619	ENSG00000198807
FHL1	recessive	0.276	0.89	ENSG00000022267
TRPM1	recessive	1.07	-0.131	ENSG00000134160
STS	recessive	0.442	1.09	ENSG00000101846
ASAH1	recessive	1.18	-2.21	ENSG00000104763
FLNB	Dom	0.443	2.14	ENSG00000136068
PGAP2	recessive	0.363	0.933	ENSG00000148985
STRA6	recessive	0.824	0.599	ENSG00000137868
ZNF711	recessive	0.305	2.4	ENSG00000147180
PRSS12	recessive	1.24	0.387	ENSG00000164099
HCCS	Dom	0.414	1.2	ENSG00000004961
STAMBP	recessive	0.764	0.886	ENSG00000124356
NKX3-2	recessive	0.631	-0.596	ENSG00000109705
NSUN2	recessive	0.531	0.034	ENSG00000037474
TGFBR2	Dom	0.519	2.24	ENSG00000163513
ITCH	recessive	0.218	3.58	ENSG00000078747
DPM3	recessive	1.4	0.416	ENSG00000179085
DDC	recessive	0.915	0.409	ENSG00000132437
NFU1	recessive	1.23	0.37	ENSG00000169599
SYT1	Dom	0.451	2.84	ENSG00000067715
DHODH	recessive	0.778	-0.337	ENSG00000102967
DMP1	recessive	1.14	0.273	ENSG00000152592
RAX	recessive	0.859	0.189	ENSG00000134438
SLC25A19	recessive	0.524	0.587	ENSG00000125454
B3GALNT2	recessive	0.843	0.951	ENSG00000162885
ARHGAP31	Dom	0.192	0.797	ENSG00000031081
BBS5	recessive	0.89	0.85	ENSG00000163093
DHTKD1	recessive	1.25	-0.116	ENSG00000181192
GAMT	recessive	1.26	-0.0872	ENSG00000130005
SLC2A10	recessive	1.39	-0.755	ENSG00000197496
VRK1	recessive	0.634	1.17	ENSG00000100749
WWOX	recessive	1.53	-4.44	ENSG00000186153
TRPS1	Dom	0.111	1.54	ENSG00000104447
KLHL40	recessive	0.924	0.0218	ENSG00000157119
MGAT2	recessive	0.716	0.515	ENSG00000168282
SOX11	Dom	0.44	2.26	ENSG00000176887
UGT1A1	recessive	1.08	-0.247	ENSG00000242366
LYST	recessive	0.307	1.41	ENSG00000143669
ZEB2	Dom	0.107	3.94	ENSG00000169554
TTC8	recessive	0.74	-0.079	ENSG00000165533
PRKAR1A	Dom	0.119	3.12	ENSG00000108946
IFT43	recessive	1.6	-0.296	ENSG00000119650
FLVCR2	recessive	0.927	0.0642	ENSG00000119686
CYP2U1	recessive	0.747	0.994	ENSG00000155016
ANTXR1	recessive	0.3	1.52	ENSG00000169604
CDT1	recessive	1.22	-1.9	ENSG00000167513
MANBA	recessive	0.965	0.0496	ENSG00000109323
PTDSS1	Dom	0.448	2.38	ENSG00000156471
RSPO4	recessive	1.59	-0.47	ENSG00000101282
SLC25A20	recessive	1.17	0.305	ENSG00000178537
WNT10B	recessive	0.916	1.05	ENSG00000169884
TREX1	recessive	0.694	-0.821	ENSG00000213689
RAD21	Dom	0.256	2.64	ENSG00000164754
HPD	Dom	0.666	0.73	ENSG00000158104
GNPAT	recessive	0.417	0.674	ENSG00000116906
MESP2	recessive	1.28	0.187	ENSG00000188095
PCBD1	recessive	1.84	0.716	ENSG00000166228
TEK	Dom	0.179	1.35	ENSG00000120156
PHF21A	Dom	0.08	2.86	ENSG00000135365
IKBKG	Dom	1.37	0.0309	ENSG00000073009
PTF1A	recessive	1.01	0.508	ENSG00000168267
WNT7A	recessive	0.71	1.34	ENSG00000154764
FOXL2	Dom	0.437	1.76	ENSG00000183770
CFL2	recessive	1.53	1.61	ENSG00000165410
MED17	recessive	0.778	0.878	ENSG00000042429
SMARCA4	Dom	0.055	6.85	ENSG00000127616
SLC5A5	recessive	0.564	0.918	ENSG00000105641
FANCG	recessive	1.09	0.245	ENSG00000221829
ASPH	recessive	0.821	0.207	ENSG00000198363
TUBB2A	Dom	0.363	5.26	ENSG00000137267
SUMF1	recessive	1.07	-0.499	ENSG00000144455
C2CD3	recessive	0.644	0.535	ENSG00000168014
CEP41	recessive	0.922	0.347	ENSG00000106477
HCN1	Dom	0.181	3.66	ENSG00000164588
TGFB1	Dom	0.614	1.86	ENSG00000105329
PTEN	Dom	0.507	3.49	ENSG00000171862
FGFR1	Dom	0.215	2.49	ENSG00000077782
GRIK2	recessive	0.262	2.91	ENSG00000164418
ORC1	recessive	0.881	0.236	ENSG00000085840
FANCE	recessive	0.892	0.129	ENSG00000112039
ARL6	recessive	0.917	0.555	ENSG00000113966
PTPN14	recessive	0.365	1.68	ENSG00000152104
ROBO3	recessive	0.71	0.608	ENSG00000154134
ALX1	recessive	0.607	0.0961	ENSG00000180318
BMP4	Dom	0.334	1.01	ENSG00000125378
ALG12	recessive	1.03	-0.193	ENSG00000182858
LRP5	Dom	0.341	1.67	ENSG00000162337
MFSD8	recessive	1.07	0.115	ENSG00000164073
ERCC2	recessive	1.09	0.38	ENSG00000104884
PDSS2	recessive	1.13	0.474	ENSG00000164494
GUSB	recessive	0.754	1.1	ENSG00000169919
HSD17B10	recessive	0.342	2.59	ENSG00000072506
ZFP57	recessive	1.34	1.38	ENSG00000204644
ERCC4	recessive	0.896	-0.762	ENSG00000175595
TAC3	recessive	1.19	0.69	ENSG00000166863
RTEL1	recessive	0.537	-1.15	ENSG00000258366
MLYCD	recessive	0.837	-1.76	ENSG00000103150
PIGL	recessive	1.51	0.0451	ENSG00000108474
ABCC9	Dom	0.482	4.97	ENSG00000069431
KDM6A	Dom	0.161	2.95	ENSG00000147050
SHOX	recessive	0.515	-0.538	ENSG00000185960
PRRT2	Dom	0.56	0.225	ENSG00000167371
GDF6	Dom	0.223	0.934	ENSG00000156466
TMEM67	recessive	0.944	0.493	ENSG00000164953
ZIC3	recessive	0.361	2.52	ENSG00000156925
KCNC1	Dom	0.262	4.52	ENSG00000129159
CHRNB2	Dom	0.822	2.1	ENSG00000160716
MMADHC	recessive	0.994	-0.413	ENSG00000168288
NYX	recessive	1.13	2.11	ENSG00000188937
CRB2	recessive	0.888	1.11	ENSG00000148204
TMEM237	recessive	1.25	0.0945	ENSG00000155755
CCDC78	Dom	1.79	-0.86	ENSG00000162004
GATA4	Dom	0.527	0.671	ENSG00000136574
SCN8A	Dom	0.13	7.64	ENSG00000196876
GABRB3	Dom	0.341	3.39	ENSG00000166206
FOXF1	Dom	0.302	1.09	ENSG00000103241
PEX26	recessive	0.366	-0.368	ENSG00000215193
SURF1	recessive	1.72	-0.68	ENSG00000148290
GRIN2B	Dom	0.061	5.42	ENSG00000273079
KIF11	Dom	0.121	3.27	ENSG00000138160
CTCF	Dom	0.148	4.44	ENSG00000102974
EXT2	Dom	0.766	0.64	ENSG00000151348
ABCD4	recessive	0.898	0.169	ENSG00000119688
OPHN1	recessive	0.161	2.59	ENSG00000079482
ACADM	recessive	1.15	0.543	ENSG00000117054
TACR3	recessive	1.74	0.577	ENSG00000169836
CASK	Dom	0.073	4.25	ENSG00000147044
ETFDH	recessive	1.04	0.393	ENSG00000171503
TRPV3	Dom	1.15	0.171	ENSG00000167723
GRHL3	Dom	0.277	1.42	ENSG00000158055
IRF6	Dom	0.132	2.74	ENSG00000117595
ARFGEF2	recessive	0.249	2.6	ENSG00000124198
HYLS1	recessive	1.43	0.177	ENSG00000198331
BANF1	recessive	0.872	1.43	ENSG00000175334
ZDHHC9	recessive	0.479	2.55	ENSG00000188706
FOXC1	Dom	0.311	0.342	ENSG00000054598
NDUFV1	recessive	1.21	0.282	ENSG00000167792
DOLK	recessive	0.899	0.977	ENSG00000175283
IFT122	recessive	0.858	0.346	ENSG00000163913
SLC6A5	recessive	0.967	-0.0941	ENSG00000165970
WDR19	recessive	0.561	1.5	ENSG00000157796
CEP152	recessive	0.824	0.0279	ENSG00000103995
DSPP	Dom	1.17	1.1	ENSG00000152591
CLCN7	recessive	0.394	2.11	ENSG00000103249
MAFB	Dom	0.397	2.17	ENSG00000204103
DCX	Dom	0.616	2.7	ENSG00000077279
MCCC2	recessive	0.897	0.306	ENSG00000131844
PDHA1	recessive	0.266	2.57	ENSG00000131828
CRX	Dom	0.6	0.329	ENSG00000105392
CRYAA	recessive	0.986	0.348	ENSG00000160202
GJC2	Dom	1.23	1.87	ENSG00000198835
NRXN2	Dom	0.258	4.02	ENSG00000110076
UMPS	recessive	0.931	1.14	ENSG00000114491
PEX19	recessive	0.935	-0.776	ENSG00000162735
SLC4A4	recessive	0.273	3.14	ENSG00000080493
FOXE1	recessive	0.576	0.315	ENSG00000178919
BLOC1S6	recessive	1.69	0.859	ENSG00000104164
DSG1	recessive	0.331	-0.341	ENSG00000134760
SPTAN1	Dom	0.101	5.52	ENSG00000197694
ABCB11	recessive	0.638	1.11	ENSG00000073734
LEMD3	Dom	0.253	-0.26	ENSG00000174106
TMEM216	recessive	1.37	0.491	ENSG00000187049
THRA	Dom	0.454	3.47	ENSG00000126351
CLCNKB	recessive	1.24	-0.563	ENSG00000184908
BFSP2	Dom	1.04	0.292	ENSG00000170819
TUBGCP6	recessive	0.925	-0.944	ENSG00000128159
COL1A1	Dom	0.105	3.53	ENSG00000108821
GLUL	recessive	0.185	1.6	ENSG00000135821
ORC4	recessive	1.13	-0.203	ENSG00000115947
COLEC11	recessive	0.816	0.564	ENSG00000118004
ZIC2	Dom	0.267	3.21	ENSG00000043355
TECPR2	recessive	0.346	1.74	ENSG00000196663
ROR2	Dom	0.558	0.143	ENSG00000169071
NEU1	recessive	0.838	1.42	ENSG00000204386
CDH3	recessive	0.854	0.0798	ENSG00000062038
NKX2-1	Dom	0.586	1.81	ENSG00000136352
BMPER	recessive	0.663	0.0102	ENSG00000164619
GJA1	Dom	0.624	1.28	ENSG00000152661
SLC19A3	recessive	0.589	-0.365	ENSG00000135917
SOX17	Dom	0.415	0.775	ENSG00000164736
AGK	recessive	0.878	0.755	ENSG00000006530
GNAS	Dom	0.372	2.65	ENSG00000087460
GNS	recessive	0.606	1.37	ENSG00000135677
CRYBB1	Dom	0.996	0.351	ENSG00000100122
SLC6A8	recessive	0.213	3.05	ENSG00000130821
ALDH5A1	recessive	0.937	0.734	ENSG00000112294
POMT1	recessive	0.934	0.618	ENSG00000130714
PTHLH	Dom	0.48	1.15	ENSG00000087494
SLC39A13	recessive	0.799	1.26	ENSG00000165915
CEP63	recessive	1.26	-0.0983	ENSG00000182923
KRT74	Dom	1.58	-1.2	ENSG00000170484
B4GALT7	recessive	1.11	-0.311	ENSG00000027847
DHFR	recessive	0.884	1.01	ENSG00000228716
CA2	recessive	1.37	0.359	ENSG00000104267
CHUK	recessive	0.285	2.78	ENSG00000213341
HSF4	Dom	1.11	0.651	ENSG00000102878
RNASEH2B	recessive	1.25	-0.239	ENSG00000136104
ACOX1	recessive	0.462	1.98	ENSG00000161533
DHCR24	recessive	0.523	1.5	ENSG00000116133
GFAP	Dom	1.03	0.929	ENSG00000131095
SLC25A22	recessive	0.808	0.913	ENSG00000177542
NRXN1	Dom	0.254	2.56	ENSG00000179915
JAG1	Dom	0.146	3.25	ENSG00000101384
SOX3	Dom	0.855	2.21	ENSG00000134595
SCARF2	recessive	0.19	3.02	ENSG00000244486
MTRR	recessive	0.983	-0.665	ENSG00000124275
TP63	Dom	0.267	2.21	ENSG00000073282
PLP1	recessive	0.355	2.04	ENSG00000123560
PTS	recessive	1.69	0.126	ENSG00000150787
COL10A1	Dom	0.945	-1.15	ENSG00000123500
FBN2	Dom	0.205	1.55	ENSG00000138829
AAAS	recessive	0.988	-0.363	ENSG00000094914
USP9X	Dom	0.051	6.41	ENSG00000124486
HPD	recessive	0.666	0.73	ENSG00000158104
DNAAF3	recessive	0.987	0.412	ENSG00000167646
SLC6A17	recessive	0.422	2.39	ENSG00000197106
DNMT3B	recessive	0.375	1.5	ENSG00000088305
SMC3	Dom	0.037	6.4	ENSG00000108055
SMOC1	recessive	0.592	0.743	ENSG00000198732
SLC2A2	recessive	0.923	0.936	ENSG00000163581
LRP2	recessive	0.249	2.07	ENSG00000081479
CCBE1	recessive	1.01	-0.691	ENSG00000183287
DYNC2H1	recessive	0.576	0.909	ENSG00000187240
TUBA1A	Dom	0.317	5.58	ENSG00000167552
ADSL	recessive	1.07	0.803	ENSG00000239900
ELOVL4	recessive	0.407	1.19	ENSG00000118402
TUBB	Dom	0.292	5.63	ENSG00000196230
ZC4H2	recessive	0.39	1.51	ENSG00000126970
SHANK3	Dom	0.123	3.74	ENSG00000251322
PDHA1	Dom	0.266	2.57	ENSG00000131828
CLDN19	recessive	1.08	0.779	ENSG00000164007
SHH	Dom	0.242	2.95	ENSG00000164690
BOLA3	recessive	1.06	0.547	ENSG00000163170
TTC19	recessive	1.12	0.0827	ENSG00000011295
PURA	Dom	0.335	3.37	ENSG00000185129
GJC2	recessive	1.23	1.87	ENSG00000198835
MNX1	Dom	0.5	0.731	ENSG00000130675
TFAP2A	Dom	0.261	2.59	ENSG00000137203
TBXAS1	recessive	1.39	-0.807	ENSG00000059377
EDA	recessive	0.266	1.78	ENSG00000158813
COL11A1	recessive	0.216	1.02	ENSG00000060718
PSPH	recessive	1.19	0.777	ENSG00000146733
CEP135	recessive	0.813	0.0804	ENSG00000174799
WRAP53	recessive	0.69	0.0202	ENSG00000141499
MAP3K1	Dom	0.214	1.67	ENSG00000095015
TBX5	Dom	0.135	1.19	ENSG00000089225
LRBA	recessive	0.417	0.692	ENSG00000198589
KIF5C	Dom	0.117	4.05	ENSG00000168280
EXOSC3	recessive	1.21	-0.224	ENSG00000107371
FANCD2	recessive	0.886	0.0373	ENSG00000144554
AUH	recessive	0.964	0.342	ENSG00000148090
EXT1	Dom	0.261	1.67	ENSG00000182197
SLC35A1	recessive	0.461	1.27	ENSG00000164414
QDPR	recessive	1.06	0.285	ENSG00000151552
HINT1	recessive	1.81	0.442	ENSG00000169567
UBR1	recessive	0.349	2.4	ENSG00000159459
YY1	Dom	0.198	3.31	ENSG00000100811
MED12	recessive	0.071	6.58	ENSG00000184634
CRYBA1	Dom	1	0.626	ENSG00000108255
SCN1B	Dom	1.27	1.22	ENSG00000105711
RAI1	Dom	0.116	1.12	ENSG00000108557
CD96	Dom	0.97	-0.467	ENSG00000153283
TUBB3	Dom	0.315	4.58	ENSG00000258947
SETD5	Dom	0.227	1.13	ENSG00000168137
DDHD2	recessive	0.769	1.07	ENSG00000085788
KCNJ6	Dom	0.51	3.71	ENSG00000157542
MMP13	Dom	1.52	-0.21	ENSG00000137745
GAA	recessive	0.981	-0.633	ENSG00000171298
PTH1R	Dom	0.411	1.65	ENSG00000160801
PIK3R2	Dom	0.489	2.33	ENSG00000105647
KCTD1	Dom	0.442	1.82	ENSG00000134504
TBX20	Dom	0.315	1.68	ENSG00000164532
TMEM165	recessive	0.63	1.37	ENSG00000134851
CASK	recessive	0.073	4.25	ENSG00000147044
FAM126A	recessive	0.485	0.981	ENSG00000122591
HNF1B	Dom	0.168	1.73	ENSG00000108753
HR	recessive	0.628	0.674	ENSG00000168453
ATRX	recessive	0.119	3.1	ENSG00000085224
SLC12A6	recessive	0.395	2.96	ENSG00000140199
SMS	recessive	0.305	2.32	ENSG00000102172
FTCD	recessive	1.23	-0.35	ENSG00000160282
KCNQ2	Dom	0.158	4.04	ENSG00000075043
ZNF750	Dom	0.41	-0.0697	ENSG00000141579
UPF3B	recessive	0.292	1.84	ENSG00000125351
STX1B	Dom	0.268	2.94	ENSG00000099365
SLC26A2	recessive	1.11	0.0314	ENSG00000155850
GABRA1	Dom	0.367	3.15	ENSG00000022355
SIX5	Dom	0.802	-0.563	ENSG00000177045
COQ9	recessive	1.01	-0.216	ENSG00000088682
SLC9A6	recessive	0.206	2.95	ENSG00000198689
NAA10	recessive	0.522	2.41	ENSG00000102030
MICU1	recessive	1.29	1.65	ENSG00000107745
NDUFS1	recessive	0.808	-0.0751	ENSG00000023228
EPG5	recessive	0.456	1.08	ENSG00000152223
LRP4	recessive	0.416	3.06	ENSG00000134569
SETBP1	Dom	0.11	1.1	ENSG00000152217
PNPLA2	recessive	0.741	-0.00894	ENSG00000177666
AP4B1	recessive	0.827	0.131	ENSG00000134262
CLP1	recessive	0.589	2.25	ENSG00000172409
HOXB1	recessive	0.718	0.86	ENSG00000120094
ETFA	recessive	0.68	1.06	ENSG00000140374
CHMP1A	recessive	1.18	0.76	ENSG00000131165
NOTCH1	Dom	0.097	3.45	ENSG00000148400
PIGA	recessive	0.296	2.17	ENSG00000165195
NIPBL	Dom	0.032	5.57	ENSG00000164190
CA8	recessive	0.67	1.24	ENSG00000178538
ELAC2	recessive	1.05	-0.41	ENSG00000006744
TWIST1	Dom	1.06	1.06	ENSG00000122691
FOXE3	Dom	1.61	0.568	ENSG00000186790
GUCY2C	recessive	1.08	1.25	ENSG00000070019
OBSL1	recessive	0.878	0.00685	ENSG00000124006
RAB39B	recessive	0.52	1.94	ENSG00000155961
MTHFR	recessive	0.922	0.896	ENSG00000177000
PIK3R1	recessive	0.228	2.72	ENSG00000145675
ALDOA	recessive	0.755	0.259	ENSG00000149925
PDHX	recessive	0.718	-0.203	ENSG00000110435
NOTCH2	Dom	0.116	3.5	ENSG00000134250
TNFRSF13B	recessive	1.96	-1.2	ENSG00000240505
RMND1	recessive	1.11	0.765	ENSG00000155906
NHS	recessive	0.087	1.82	ENSG00000188158
GABRG2	Dom	0.399	2.99	ENSG00000113327
COX7B	Dom	0.815	0.424	ENSG00000131174
PEPD	recessive	1.26	-0.18	ENSG00000124299
NGLY1	recessive	0.95	-0.0726	ENSG00000151092
SC5D	recessive	0.966	0.721	ENSG00000109929
ECEL1	recessive	0.831	0.478	ENSG00000171551
RYR1	recessive	0.456	1.92	ENSG00000196218
FGF10	Dom	0.339	0.85	ENSG00000070193
ABHD5	recessive	0.982	0.474	ENSG00000011198
MATN3	Dom	1.25	0.771	ENSG00000132031
MECP2	recessive	0.407	-1.21	ENSG00000169057
NDUFS7	recessive	0.386	0.991	ENSG00000115286
GMPPB	recessive	1.09	1.02	ENSG00000173540
CYC1	recessive	0.639	0.127	ENSG00000179091
P4HB	Dom	0.224	1.31	ENSG00000185624
ANKH	Dom	0.499	2.35	ENSG00000154122
ACO2	recessive	0.417	2.92	ENSG00000100412
TTC7A	recessive	1.29	-0.775	ENSG00000068724
PGK1	recessive	0.465	0.338	ENSG00000102144
FAM20A	recessive	0.865	-0.0211	ENSG00000108950
ACY1	recessive	1.06	0.0951	ENSG00000243989
PTCHD1	recessive	0.284	2	ENSG00000165186
ITGA3	recessive	0.534	2.36	ENSG00000005884
DDR2	recessive	0.376	2.29	ENSG00000162733
MYO5B	recessive	0.688	-0.616	ENSG00000167306
SLC16A2	recessive	0.223	2.38	ENSG00000147100
HPRT1	recessive	0.34	2.32	ENSG00000165704
ZMYND10	recessive	0.859	0.932	ENSG00000004838
DAG1	recessive	0.301	0.625	ENSG00000173402
KCNT1	Dom	0.471	2.86	ENSG00000107147
ABCB7	recessive	0.109	2.9	ENSG00000131269
CTC1	recessive	0.628	0.503	ENSG00000178971
CLMP	recessive	1	0.583	ENSG00000166250
CEP290	recessive	0.985	0.475	ENSG00000198707
SMC1A	Dom	0.062	6.45	ENSG00000072501
CENPJ	recessive	0.972	0.216	ENSG00000151849
CHST14	recessive	0.64	0.683	ENSG00000169105
CRYBB3	recessive	1.71	-0.126	ENSG00000100053
IHH	Dom	0.61	1.45	ENSG00000163501
CDON	Dom	0.779	0.209	ENSG00000064309
FUCA1	recessive	0.944	0.845	ENSG00000179163
CACNA1C	Dom	0.102	6.47	ENSG00000151067
ELN	Dom	0.871	0.0484	ENSG00000049540
TRIP11	recessive	0.504	0.515	ENSG00000100815
HOXD13	Dom	0.952	0.042	ENSG00000128714
TGIF1	Dom	0.911	0.178	ENSG00000177426
AIPL1	recessive	1.07	0.0794	ENSG00000129221
PHF6	recessive	0.166	2.28	ENSG00000156531
KIF1A	Dom	0.136	5.16	ENSG00000130294
FAM20C	recessive	0.489	1.02	ENSG00000177706
GRM6	recessive	1.17	-0.512	ENSG00000113262
SNRPE	Dom	0.392	1.32	ENSG00000182004
KIF1A	recessive	0.136	5.16	ENSG00000130294
SRD5A3	recessive	0.973	0.76	ENSG00000128039
IGF1R	recessive	0.306	2.73	ENSG00000140443
MID1	recessive	0.304	2.92	ENSG00000101871
PLCE1	recessive	0.461	1.38	ENSG00000138193
VLDLR	recessive	0.718	-1.12	ENSG00000147852
MEF2C	Dom	0.608	3.95	ENSG00000081189
MSX2	Dom	0.819	0.471	ENSG00000120149
NMNAT1	recessive	0.877	0.627	ENSG00000173614
AK2	recessive	1.22	0.0718	ENSG00000004455
HSD3B7	recessive	1.33	0.768	ENSG00000099377
EGR2	recessive	0.604	2.44	ENSG00000122877
CC2D2A	recessive	0.781	0.647	ENSG00000048342
IGSF1	recessive	0.214	1.15	ENSG00000147255
ERCC6L2	recessive	0.675	0.636	ENSG00000182150
CEP57	recessive	0.481	-0.458	ENSG00000166037
HPSE2	recessive	0.686	0.245	ENSG00000172987
IRX5	recessive	0.302	0.831	ENSG00000176842
KIF7	recessive	0.926	-0.689	ENSG00000166813
LMBRD1	recessive	0.928	0.257	ENSG00000168216
LAMP2	recessive	0.641	0.84	ENSG00000005893
HNF4A	Dom	0.505	1.81	ENSG00000101076
LTBP2	recessive	0.383	0.189	ENSG00000119681
OTX2	Dom	0.376	1.05	ENSG00000165588
NSDHL	Dom	0.289	0.869	ENSG00000147383
GATA2	Dom	0.292	2.04	ENSG00000179348
SDHAF1	recessive	1.9	0.379	ENSG00000205138
FBN1	Dom	0.049	5.06	ENSG00000166147
